classification_name,classification_code,country,year,affordability_healthy_diet_ratio_cost_to_food_expenditures,affordability_healthy_diet_ratio_cost_to_food_poverty_line,affordability_nutrient_adequate_diet_ratio_cost_to_food_expenditures,affordability_nutrient_adequate_diet_ratio_cost_to_food_poverty_line,affordability_energy_sufficient_diet_ratio_cost_to_food_expenditures,affordability_energy_sufficient_diet_ratio_cost_food_poverty_line,cost_healthy_diet,cost_healthy_diet_relative_to_cost_of_sufficient_energy_from_starchy_staples,cost_nutrient_adequate_diet,cost_energy_sufficient_diet,cost_animal-source_foods,cost_animal-sourced_foods_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_fruits,cost_fruits_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_legumes_nuts_seeds,cost_legumes_nuts_seeds_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_oils_fats,cost_oils_fats_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_starchy_staples,cost_vegetables,cost_vegetables_relative_to_starchy_staples_in_least-cost_healthy_diet,cost_share_animal-sourced_foods_in_least-cost_healthy_diet,cost_share_fruits_in_least-cost_healthy_diet,cost_share_legumes_nuts_seeds_in_least-cost_healthy_diet,cost_share_oils_fats_in_least-cost_healthy_diet,cost_share_vegetables_in_least-cost_healthy_diet,cost_share_starchy_staples_in_least-cost_healthy_diet,percent_population_cannot_afford_sufficient_calories,percent_population_cannot_afford_nutrient_adequacy,percent_population_cannot_afford_healthy_diet,millions_people_cannot_afford_sufficient_calories,millions_people_cannot_afford_nutrient_adequacy,millions_people_cannot_afford_healthy_diet,population
Food Prices for Nutrition 1.1,FPN 1.1,Lao PDR,2017,0.894,3.371,0.687,2.59,0.171,0.646,3.776,5.22,2.901,0.724,1.105,2.31,0.736,1.54,0.394,0.82,0.172,0.36,0.478,0.892,1.87,0.293,0.195,0.104,0.046,0.236,0.127,0.8,61.1,75.3,0.1,4.3,5.3,6997917
Food Prices for Nutrition 1.1,FPN 1.1,Latin America & Caribbean,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.619,Unknown,3.056,1.09,0.882,Unknown,0.658,Unknown,0.427,Unknown,0.153,Unknown,0.615,0.885,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.0,17.9,22.1,17.2,101.2,124.5,572342871
Food Prices for Nutrition 1.1,FPN 1.1,Latvia,2017,0.428,2.789,0.278,1.812,0.06,0.395,3.124,7.07,2.029,0.442,0.794,2.37,0.648,1.93,0.314,0.94,0.111,0.33,0.335,0.921,2.75,0.254,0.207,0.101,0.036,0.295,0.107,0.2,1.7,3.4,0.0,0.0,0.1,1942248
Food Prices for Nutrition 1.1,FPN 1.1,Lesotho,2017,1.463,3.366,0.895,2.059,0.236,0.543,3.77,6.2,2.306,0.608,1.172,2.54,0.838,1.81,0.362,0.78,0.148,0.32,0.462,0.788,1.71,0.311,0.222,0.096,0.039,0.209,0.123,10.7,63.2,83.2,0.2,1.4,1.8,2170617
Food Prices for Nutrition 1.1,FPN 1.1,Liberia,2017,5.272,3.588,3.913,2.663,1.274,0.867,4.018,4.14,2.982,0.971,0.685,0.54,0.901,0.71,0.229,0.18,0.092,0.07,1.27,0.84,0.66,0.17,0.224,0.057,0.023,0.209,0.316,20.4,82.9,92.1,1.0,4.0,4.4,4796631
Food Prices for Nutrition 1.1,FPN 1.1,Lithuania,2017,0.263,2.681,0.173,1.758,0.044,0.451,3.003,5.95,1.969,0.505,0.702,1.91,0.67,1.82,0.343,0.93,0.086,0.23,0.368,0.834,2.27,0.234,0.223,0.114,0.029,0.278,0.123,0.8,1.6,3.3,0.0,0.0,0.1,2828403
Food Prices for Nutrition 1.1,FPN 1.1,Low income,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.084,1.51324828263003,2.038,0.835,0.941,Unknown,0.495,Unknown,0.192,Unknown,0.16,Unknown,0.533,0.761,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,18.9,72.7,88.7,90.4,348.2,424.9,487090766
Food Prices for Nutrition 1.1,FPN 1.1,Lower middle income,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.398,1.35540486637415,2.507,0.945,0.99,Unknown,0.639,Unknown,0.321,Unknown,0.156,Unknown,0.53,0.762,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,7.2,53.0,72.4,223.9,1656.1,2263.2,3148189256
Food Prices for Nutrition 1.1,FPN 1.1,Luxembourg,2017,0.298,2.225,0.244,1.82,0.04,0.299,2.492,7.44,2.038,0.335,0.656,3.15,0.762,3.66,0.28,1.35,0.056,0.27,0.208,0.53,2.55,0.263,0.306,0.112,0.022,0.213,0.083,0.1,0.4,0.4,0.0,0.0,0.0,596336
Food Prices for Nutrition 1.1,FPN 1.1,Madagascar,2017,1.627,2.667,1.41,2.312,0.588,0.963,2.987,2.77,2.589,1.079,1.02,1.84,0.563,1.01,0.328,0.59,0.197,0.35,0.555,0.324,0.58,0.341,0.188,0.11,0.066,0.108,0.186,78.5,96.0,97.1,20.5,25.1,25.4,26169542
Food Prices for Nutrition 1.1,FPN 1.1,Malawi,2017,2.095,2.432,1.243,1.443,0.219,0.254,2.724,9.56,1.616,0.285,1.085,3.31,0.396,1.21,0.13,0.4,0.176,0.54,0.328,0.61,1.86,0.398,0.145,0.048,0.065,0.224,0.12,2.4,83.2,94.5,0.4,14.9,16.9,17881167
Food Prices for Nutrition 1.1,FPN 1.1,Malaysia,2017,0.371,2.879,0.274,2.129,0.104,0.812,3.224,3.55,2.384,0.909,0.83,1.82,0.929,2.04,0.294,0.64,0.067,0.15,0.456,0.648,1.42,0.257,0.288,0.091,0.021,0.201,0.141,0.0,0.9,2.9,0.0,0.3,0.9,31975806
Food Prices for Nutrition 1.1,FPN 1.1,Maldives,2017,1.225,3.197,0.919,2.398,0.145,0.378,3.581,8.47,2.686,0.423,0.906,3.79,0.861,3.6,0.409,1.71,0.099,0.41,0.239,1.067,4.46,0.253,0.24,0.114,0.028,0.298,0.067,0.0,0.9,4.0,0.0,0.0,0.0,472442
Food Prices for Nutrition 1.1,FPN 1.1,Mali,2017,1.126,2.589,0.77,1.772,0.233,0.536,2.9,4.83,1.985,0.6,1.003,2.33,0.543,1.26,0.134,0.31,0.143,0.33,0.43,0.648,1.51,0.346,0.187,0.046,0.049,0.223,0.148,1.9,57.2,77.0,0.4,11.0,14.9,19311355
Food Prices for Nutrition 1.1,FPN 1.1,Malta,2017,0.512,3.12,0.388,2.363,0.109,0.662,3.494,4.72,2.647,0.741,0.795,1.56,0.931,1.83,0.45,0.89,0.08,0.16,0.508,0.73,1.44,0.228,0.266,0.129,0.023,0.209,0.145,0.1,0.3,0.3,0.0,0.0,0.0,467999
Food Prices for Nutrition 1.1,FPN 1.1,Mauritania,2017,1.036,3.081,0.845,2.513,0.263,0.783,3.451,3.94,2.814,0.877,0.96,2.07,0.804,1.74,0.194,0.42,0.16,0.35,0.463,0.87,1.88,0.278,0.233,0.056,0.046,0.252,0.134,2.8,48.7,62.1,0.1,2.0,2.6,4160015
Food Prices for Nutrition 1.1,FPN 1.1,Mauritius,2017,0.318,2.958,0.242,2.249,0.078,0.727,3.313,4.07,2.519,0.814,0.876,2.15,0.565,1.39,0.296,0.73,0.1,0.25,0.407,1.07,2.63,0.264,0.171,0.089,0.03,0.323,0.123,0.0,4.3,10.9,0.0,0.1,0.1,1264613
Food Prices for Nutrition 1.1,FPN 1.1,Mexico,2017,0.38,2.672,0.315,2.217,0.082,0.574,2.993,4.65,2.483,0.643,0.766,1.86,0.599,1.46,0.35,0.85,0.096,0.23,0.411,0.771,1.88,0.256,0.2,0.117,0.032,0.258,0.137,0.7,17.2,24.3,0.9,21.2,29.8,122839258
Food Prices for Nutrition 1.1,FPN 1.1,Middle East & North Africa,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.14,Unknown,2.032,0.737,0.941,Unknown,0.652,Unknown,0.345,Unknown,0.141,Unknown,0.461,0.601,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.4,13.5,32.3,1.3,47.1,112.6,395380211
Food Prices for Nutrition 1.1,FPN 1.1,Moldova,2017,0.355,2.196,0.243,1.503,0.116,0.716,2.46,3.07,1.683,0.802,0.746,1.61,0.432,0.94,0.36,0.78,0.121,0.26,0.462,0.339,0.73,0.303,0.176,0.146,0.049,0.138,0.188,0.0,0.3,3.5,0.0,0.0,0.1,2755189
Food Prices for Nutrition 1.1,FPN 1.1,Mongolia,2017,0.979,4.057,0.487,2.017,0.16,0.663,4.544,6.12,2.259,0.743,0.756,1.37,1.921,3.47,0.468,0.85,0.167,0.3,0.553,0.68,1.23,0.166,0.423,0.103,0.037,0.15,0.122,0.1,14.2,58.2,0.0,0.4,1.8,3096030
Food Prices for Nutrition 1.1,FPN 1.1,Montenegro,2017,0.31,3.033,0.209,2.048,0.05,0.492,3.397,6.17,2.294,0.551,0.862,2.03,0.833,1.96,0.367,0.86,0.081,0.19,0.425,0.829,1.95,0.254,0.245,0.108,0.024,0.244,0.125,1.6,9.1,15.9,0.0,0.1,0.1,622373
Food Prices for Nutrition 1.1,FPN 1.1,Morocco,2017,0.641,2.42,0.452,1.707,0.144,0.543,2.71,4.46,1.912,0.608,0.798,1.95,0.539,1.31,0.358,0.87,0.119,0.29,0.41,0.485,1.18,0.294,0.199,0.132,0.044,0.179,0.151,0.1,8.2,21.4,0.0,2.9,7.6,35528115
Food Prices for Nutrition 1.1,FPN 1.1,Mozambique,2017,1.932,2.706,1.255,1.758,0.244,0.342,3.031,7.91,1.969,0.383,0.993,2.43,0.389,0.95,0.208,0.51,0.191,0.47,0.408,0.843,2.07,0.328,0.128,0.069,0.063,0.278,0.135,13.0,83.1,91.1,3.7,23.7,26.0,28569441
Food Prices for Nutrition 1.1,FPN 1.1,Myanmar,2017,1.034,3.309,0.726,2.321,0.254,0.813,3.706,4.07,2.6,0.91,1.029,1.6,0.64,0.99,0.368,0.57,0.111,0.17,0.645,0.913,1.42,0.278,0.173,0.099,0.03,0.246,0.174,0.7,42.7,71.0,0.4,22.3,37.1,52288341
Food Prices for Nutrition 1.1,FPN 1.1,Namibia,2017,0.979,2.906,0.553,1.642,0.304,0.901,3.255,3.23,1.839,1.009,0.736,1.29,0.811,1.42,0.192,0.34,0.115,0.2,0.571,0.83,1.45,0.226,0.249,0.059,0.035,0.255,0.175,14.0,33.7,55.5,0.3,0.8,1.3,2364534
Food Prices for Nutrition 1.1,FPN 1.1,Nepal,2017,1.057,3.685,0.657,2.29,0.253,0.881,4.127,4.18,2.565,0.987,1.38,2.72,1.025,2.02,0.337,0.66,0.166,0.33,0.507,0.711,1.4,0.334,0.248,0.082,0.04,0.172,0.123,2.5,50.1,79.9,0.7,14.1,22.5,28183426
Food Prices for Nutrition 1.1,FPN 1.1,Netherlands,2017,0.394,2.449,0.254,1.581,0.043,0.265,2.743,9.24,1.771,0.297,0.614,1.91,0.607,1.89,0.255,0.79,0.053,0.16,0.322,0.892,2.77,0.224,0.221,0.093,0.019,0.325,0.117,0.0,0.3,0.4,0.0,0.0,0.1,17131296
Food Prices for Nutrition 1.1,FPN 1.1,Nicaragua,2017,0.935,2.849,0.729,2.222,0.421,1.282,3.191,2.22,2.489,1.436,1.016,1.73,0.373,0.64,0.331,0.56,0.14,0.24,0.587,0.743,1.27,0.318,0.117,0.104,0.044,0.233,0.184,5.7,21.1,31.9,0.4,1.4,2.1,6480532
Food Prices for Nutrition 1.1,FPN 1.1,Niger,2017,4.064,2.545,2.364,1.48,0.867,0.543,2.85,4.69,1.658,0.608,1.138,2.84,0.601,1.5,0.094,0.23,0.144,0.36,0.401,0.473,1.18,0.399,0.211,0.033,0.051,0.166,0.141,13.7,77.1,92.9,3.0,16.8,20.2,21737922
Food Prices for Nutrition 1.1,FPN 1.1,Nigeria,2017,0.603,3.183,0.358,1.888,0.234,1.234,3.565,2.58,2.115,1.382,0.994,1.31,0.522,0.69,0.23,0.3,0.13,0.17,0.757,0.932,1.23,0.279,0.146,0.065,0.036,0.261,0.212,44.3,69.4,90.2,85.7,134.2,174.6,193495907
Food Prices for Nutrition 1.1,FPN 1.1,North America,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.386,Unknown,3.011,0.892,0.608,Unknown,0.587,Unknown,0.375,Unknown,0.101,Unknown,0.611,1.103,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.1,1.4,1.9,4.1,5.1,6.8,361731237
Food Prices for Nutrition 1.1,FPN 1.1,North Macedonia,2017,0.434,2.963,0.389,2.654,0.096,0.652,3.318,4.55,2.972,0.73,0.949,1.81,0.64,1.22,0.347,0.66,0.146,0.28,0.525,0.712,1.36,0.286,0.193,0.105,0.044,0.215,0.158,2.6,16.8,20.1,0.1,0.3,0.4,2074502
Food Prices for Nutrition 1.1,FPN 1.1,Norway,2017,0.446,2.969,0.382,2.544,0.15,1.002,3.325,2.96,2.849,1.122,0.691,1.22,0.615,1.09,0.257,0.45,0.075,0.13,0.565,1.122,1.99,0.208,0.185,0.077,0.023,0.337,0.17,0.3,0.5,0.6,0.0,0.0,0.0,5276968
Food Prices for Nutrition 1.1,FPN 1.1,Pakistan,2017,0.928,3.043,0.53,1.738,0.209,0.686,3.408,4.44,1.946,0.768,1.019,2.49,0.923,2.25,0.34,0.83,0.193,0.47,0.41,0.524,1.28,0.299,0.271,0.1,0.057,0.154,0.12,0.2,39.6,80.4,0.5,85.7,174.0,216379655
Food Prices for Nutrition 1.1,FPN 1.1,Panama,2017,0.516,3.772,0.394,2.879,0.138,1.007,4.225,3.75,3.224,1.128,1.11,1.61,0.654,0.95,0.306,0.44,0.17,0.25,0.69,1.295,1.88,0.263,0.155,0.072,0.04,0.307,0.163,2.2,12.1,17.5,0.1,0.5,0.7,4096063
Food Prices for Nutrition 1.1,FPN 1.1,Paraguay,2017,0.585,3.063,0.662,3.47,0.162,0.848,3.43,3.61,3.886,0.95,0.809,1.71,0.455,0.96,0.826,1.74,0.142,0.3,0.474,0.724,1.53,0.236,0.133,0.241,0.041,0.211,0.138,0.5,24.4,19.9,0.0,1.6,1.3,6355404
Food Prices for Nutrition 1.1,FPN 1.1,Peru,2017,0.696,2.754,0.505,2.0,0.207,0.818,3.084,3.37,2.24,0.916,0.898,1.52,0.57,0.96,0.35,0.59,0.122,0.21,0.591,0.552,0.93,0.291,0.185,0.113,0.04,0.179,0.192,2.7,16.5,26.6,0.9,5.2,8.4,31605486
Food Prices for Nutrition 1.1,FPN 1.1,Philippines,2017,0.586,3.431,0.43,2.518,0.176,1.034,3.843,3.32,2.82,1.158,1.095,1.6,0.591,0.86,0.319,0.47,0.201,0.29,0.684,0.953,1.39,0.285,0.154,0.083,0.052,0.248,0.178,6.9,53.1,70.0,7.4,56.7,74.8,106738501
Food Prices for Nutrition 1.1,FPN 1.1,Poland,2017,0.381,2.597,0.252,1.719,0.051,0.348,2.909,7.46,1.925,0.39,0.584,1.84,0.651,2.05,0.377,1.19,0.09,0.28,0.318,0.89,2.8,0.201,0.224,0.13,0.031,0.306,0.109,0.0,0.1,1.0,0.0,0.0,0.4,37974826
Food Prices for Nutrition 1.1,FPN 1.1,Portugal,2017,0.278,2.244,0.203,1.638,0.046,0.368,2.513,6.1,1.835,0.412,0.583,2.15,0.687,2.54,0.275,1.01,0.078,0.29,0.271,0.62,2.29,0.232,0.273,0.109,0.031,0.247,0.108,0.1,0.7,1.1,0.0,0.1,0.1,10300300
Food Prices for Nutrition 1.1,FPN 1.1,Romania,2017,0.273,2.608,0.205,1.952,0.046,0.437,2.921,5.97,2.186,0.489,0.945,2.64,0.697,1.95,0.351,0.98,0.073,0.2,0.358,0.497,1.39,0.324,0.239,0.12,0.025,0.17,0.123,0.9,8.0,11.9,0.2,1.6,2.3,19588715
Food Prices for Nutrition 1.1,FPN 1.1,Russian Federation,2017,0.343,2.812,0.241,1.978,0.066,0.541,3.149,5.2,2.215,0.606,0.98,2.72,0.745,2.07,0.191,0.53,0.135,0.38,0.36,0.739,2.05,0.311,0.237,0.061,0.043,0.235,0.114,0.0,0.8,3.3,0.0,1.1,4.7,144496739
Food Prices for Nutrition 1.1,FPN 1.1,Rwanda,2017,1.808,2.329,0.908,1.171,0.529,0.681,2.609,3.42,1.311,0.763,0.919,1.58,0.481,0.83,0.136,0.23,0.19,0.33,0.58,0.303,0.52,0.352,0.184,0.052,0.073,0.116,0.222,28.1,61.3,87.0,3.4,7.5,10.6,12230339
Food Prices for Nutrition 1.1,FPN 1.1,Sao Tome and Principe,2017,0.702,2.936,0.548,2.294,0.191,0.8,3.288,3.67,2.569,0.896,1.015,2.13,0.241,0.51,0.392,0.82,0.117,0.25,0.477,1.046,2.19,0.309,0.073,0.119,0.036,0.318,0.145,7.8,63.4,76.6,0.0,0.1,0.2,208036
Food Prices for Nutrition 1.1,FPN 1.1,Senegal,2017,0.677,1.955,0.574,1.659,0.23,0.665,2.19,2.94,1.858,0.745,0.377,0.94,0.422,1.05,0.124,0.31,0.19,0.47,0.401,0.677,1.69,0.172,0.193,0.057,0.087,0.309,0.183,3.3,43.0,53.4,0.5,6.5,8.1,15157793
Food Prices for Nutrition 1.1,FPN 1.1,Serbia,2017,0.608,3.634,0.398,2.383,0.09,0.537,4.07,6.77,2.669,0.601,0.998,1.74,0.872,1.52,0.612,1.07,0.096,0.17,0.572,0.92,1.61,0.245,0.214,0.15,0.024,0.226,0.141,3.2,14.3,27.2,0.2,1.0,1.9,7020858
Food Prices for Nutrition 1.1,FPN 1.1,Seychelles,2017,0.807,3.58,0.437,1.937,0.128,0.566,4.01,6.32,2.169,0.634,1.088,2.86,0.476,1.25,0.875,2.3,0.095,0.25,0.381,1.094,2.87,0.271,0.119,0.218,0.024,0.273,0.095,0.1,2.5,8.7,0.0,0.0,0.0,95843
Food Prices for Nutrition 1.1,FPN 1.1,Sierra Leone,2017,1.323,2.538,1.025,1.965,0.579,1.11,2.842,2.29,2.201,1.243,0.754,1.15,0.298,0.45,0.257,0.39,0.122,0.19,0.655,0.756,1.15,0.265,0.105,0.09,0.043,0.266,0.23,34.9,73.3,84.2,2.7,5.6,6.5,7677565
Food Prices for Nutrition 1.1,FPN 1.1,Slovak Republic,2017,0.434,2.69,0.285,1.765,0.052,0.324,3.013,8.3,1.977,0.363,0.667,1.91,0.634,1.81,0.311,0.89,0.077,0.22,0.35,0.974,2.78,0.221,0.21,0.103,0.026,0.323,0.116,0.1,1.4,2.1,0.0,0.1,0.1,5439232
Food Prices for Nutrition 1.1,FPN 1.1,Slovenia,2017,0.394,2.498,0.284,1.799,0.061,0.388,2.798,6.45,2.015,0.434,0.698,2.41,0.669,2.31,0.346,1.19,0.072,0.25,0.29,0.722,2.49,0.249,0.239,0.124,0.026,0.258,0.104,0.0,0.0,0.1,0.0,0.0,0.0,2066388
Food Prices for Nutrition 1.1,FPN 1.1,South Africa,2017,0.95,3.663,0.789,3.042,0.293,1.129,4.102,3.24,3.407,1.265,1.059,1.67,0.727,1.15,0.852,1.35,0.129,0.2,0.633,0.702,1.11,0.258,0.177,0.208,0.031,0.171,0.154,24.7,60.7,65.7,14.0,34.4,37.2,56641209
Food Prices for Nutrition 1.1,FPN 1.1,South Asia,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.558,Unknown,2.328,0.804,1.076,Unknown,0.842,Unknown,0.318,Unknown,0.172,Unknown,0.422,0.729,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2.6,58.8,78.3,45.6,1047.9,1396.5,1783225288
Food Prices for Nutrition 1.1,FPN 1.1,Spain,2017,0.371,2.41,0.241,1.564,0.06,0.391,2.699,6.16,1.752,0.438,0.623,2.24,0.796,2.86,0.211,0.76,0.053,0.19,0.278,0.739,2.66,0.231,0.295,0.078,0.02,0.274,0.103,0.5,1.0,1.7,0.2,0.5,0.8,46593236
Food Prices for Nutrition 1.1,FPN 1.1,Sri Lanka,2017,0.671,3.305,0.404,1.989,0.176,0.868,3.702,3.81,2.228,0.972,0.999,2.03,0.899,1.82,0.192,0.39,0.321,0.65,0.493,0.799,1.62,0.27,0.243,0.052,0.087,0.216,0.133,0.5,20.5,53.8,0.1,4.4,11.5,21444000
Food Prices for Nutrition 1.1,FPN 1.1,St. Lucia,2017,1.836,2.913,1.492,2.367,0.591,0.938,3.263,3.11,2.651,1.05,0.848,1.67,0.479,0.94,0.334,0.66,0.205,0.4,0.509,0.888,1.74,0.26,0.147,0.102,0.063,0.272,0.156,4.6,16.7,20.9,0.0,0.0,0.0,177163
Food Prices for Nutrition 1.1,FPN 1.1,Sub-Saharan Africa,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.249,Unknown,2.228,0.871,0.934,Unknown,0.542,Unknown,0.256,Unknown,0.146,Unknown,0.528,0.843,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,25.0,68.4,84.4,256.2,700.8,865.4,1034965620
Food Prices for Nutrition 1.1,FPN 1.1,Sudan,2017,0.824,3.28,0.468,1.865,0.242,0.963,3.674,3.41,2.089,1.079,1.203,2.2,0.48,0.88,0.509,0.93,0.211,0.39,0.547,0.723,1.32,0.327,0.131,0.139,0.057,0.197,0.149,14.4,57.2,87.7,5.8,23.3,35.7,40679828
Food Prices for Nutrition 1.1,FPN 1.1,Suriname,2017,0.604,4.437,0.412,3.023,0.139,1.02,4.969,4.35,3.386,1.142,1.412,2.41,0.8,1.37,0.78,1.33,0.136,0.23,0.585,1.256,2.15,0.284,0.161,0.157,0.027,0.253,0.118,15.5,34.2,43.7,0.1,0.2,0.3,587559
Food Prices for Nutrition 1.1,FPN 1.1,Sweden,2017,0.417,2.755,0.329,2.173,0.108,0.714,3.086,3.86,2.434,0.8,0.644,1.37,0.773,1.64,0.347,0.74,0.085,0.18,0.47,0.766,1.63,0.209,0.25,0.112,0.028,0.248,0.152,0.2,0.4,0.6,0.0,0.0,0.1,10057698
Food Prices for Nutrition 1.1,FPN 1.1,Switzerland,2017,0.333,2.253,0.278,1.876,0.055,0.373,2.523,6.04,2.101,0.418,0.675,3.18,0.577,2.72,0.249,1.17,0.067,0.32,0.212,0.743,3.5,0.268,0.229,0.099,0.027,0.294,0.084,0.0,0.0,0.0,0.0,0.0,0.0,8451840
Food Prices for Nutrition 1.1,FPN 1.1,"Taiwan, China",2017,0.427,3.563,0.32,2.675,0.156,1.303,3.99,2.73,2.996,1.459,0.911,1.06,0.75,0.88,0.475,0.55,0.134,0.16,0.857,0.863,1.01,0.228,0.188,0.119,0.034,0.216,0.215,0.0,0.2,0.2,0.0,0.1,0.1,23552470
Food Prices for Nutrition 1.1,FPN 1.1,Tajikistan,2017,1.203,2.703,0.932,2.094,0.362,0.814,3.027,3.32,2.345,0.912,0.823,1.49,0.628,1.14,0.439,0.8,0.16,0.29,0.552,0.425,0.77,0.272,0.207,0.145,0.053,0.14,0.182,2.3,33.5,50.0,0.2,3.0,4.5,8925525
Food Prices for Nutrition 1.1,FPN 1.1,Tanzania,2017,0.976,2.32,0.731,1.736,0.374,0.888,2.598,2.61,1.944,0.994,0.657,1.18,0.518,0.93,0.208,0.37,0.155,0.28,0.557,0.504,0.9,0.253,0.199,0.08,0.06,0.194,0.214,36.8,75.6,85.9,20.7,42.5,48.3,56267032
Food Prices for Nutrition 1.1,FPN 1.1,Thailand,2017,0.656,3.546,0.476,2.574,0.173,0.935,3.971,3.79,2.883,1.047,0.942,1.05,0.786,0.88,0.488,0.54,0.114,0.13,0.896,0.746,0.83,0.237,0.198,0.123,0.029,0.188,0.226,0.0,7.1,20.5,0.0,5.0,14.5,70898202
Food Prices for Nutrition 1.1,FPN 1.1,Trinidad and Tobago,2017,0.501,3.507,0.4,2.799,0.129,0.901,3.928,3.89,3.135,1.009,1.047,1.71,0.979,1.6,0.361,0.59,0.167,0.27,0.612,0.763,1.25,0.267,0.249,0.092,0.043,0.194,0.156,0.2,3.7,7.0,0.0,0.1,0.1,1478607
Food Prices for Nutrition 1.1,FPN 1.1,Tunisia,2017,0.64,3.104,0.346,1.679,0.111,0.539,3.476,5.75,1.88,0.604,0.841,2.64,1.127,3.54,0.482,1.52,0.181,0.57,0.318,0.527,1.66,0.242,0.324,0.139,0.052,0.152,0.091,0.0,1.9,15.7,0.0,0.2,1.9,11811443
Food Prices for Nutrition 1.1,FPN 1.1,Turkey,2017,0.391,2.565,0.311,2.041,0.096,0.633,2.873,4.05,2.286,0.709,0.817,2.27,0.85,2.36,0.271,0.75,0.127,0.35,0.36,0.448,1.24,0.284,0.296,0.094,0.044,0.156,0.125,0.0,3.1,6.1,0.0,2.6,5.0,82089826
Food Prices for Nutrition 1.1,FPN 1.1,Uganda,2017,1.807,2.454,1.183,1.607,0.426,0.579,2.749,4.24,1.8,0.648,0.853,1.72,0.494,1.0,0.196,0.4,0.184,0.37,0.495,0.528,1.07,0.31,0.18,0.071,0.067,0.192,0.18,13.7,68.8,84.4,5.5,27.6,33.8,40127085
Food Prices for Nutrition 1.1,FPN 1.1,United Arab Emirates,2017,0.374,2.46,0.245,1.613,0.101,0.666,2.755,3.69,1.806,0.746,0.856,2.21,0.562,1.45,0.269,0.69,0.149,0.38,0.388,0.532,1.37,0.311,0.204,0.098,0.054,0.193,0.141,0.0,0.0,0.1,0.0,0.0,0.0,9068296
Food Prices for Nutrition 1.1,FPN 1.1,United Kingdom,2017,0.341,1.627,0.285,1.363,0.049,0.235,1.822,6.93,1.526,0.263,0.494,3.36,0.533,3.63,0.195,1.33,0.053,0.36,0.147,0.399,2.71,0.271,0.293,0.107,0.029,0.219,0.081,0.1,0.4,0.5,0.1,0.3,0.3,66058859
Food Prices for Nutrition 1.1,FPN 1.1,United States,2017,0.46,2.879,0.316,1.978,0.129,0.808,3.225,3.56,2.215,0.905,0.557,0.84,0.61,0.92,0.285,0.43,0.059,0.09,0.661,1.053,1.59,0.173,0.189,0.088,0.018,0.327,0.205,1.2,1.5,2.0,4.1,4.9,6.5,325122128
Food Prices for Nutrition 1.1,FPN 1.1,Upper middle income,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.524,1.34145413018653,2.627,0.87,0.909,Unknown,0.712,Unknown,0.432,Unknown,0.13,Unknown,0.54,0.801,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,1.2,11.2,17.2,29.6,272.1,418.9,2431589377
Food Prices for Nutrition 1.1,FPN 1.1,Uruguay,2017,0.416,2.744,0.288,1.901,0.094,0.62,3.073,4.43,2.129,0.694,0.615,1.63,0.537,1.42,0.487,1.29,0.068,0.18,0.378,0.989,2.62,0.2,0.175,0.158,0.022,0.322,0.123,0.0,0.8,2.8,0.0,0.0,0.1,3422200
Food Prices for Nutrition 1.1,FPN 1.1,Vietnam,2017,1.052,3.202,0.737,2.245,0.286,0.871,3.586,3.68,2.514,0.975,1.183,2.03,0.556,0.96,0.305,0.52,0.189,0.32,0.582,0.771,1.32,0.33,0.155,0.085,0.053,0.215,0.162,0.7,11.7,25.0,0.7,11.0,23.5,94033048
Food Prices for Nutrition 1.1,FPN 1.1,West Bank and Gaza,2017,0.845,2.984,0.445,1.572,0.284,1.004,3.342,2.97,1.761,1.124,1.127,1.74,0.695,1.07,0.186689715164812,0.29,0.122,0.19,0.649,0.564,0.87,0.337,0.208,0.056,0.037,0.169,0.194,0.6,2.4,18.0,0.0,0.1,0.8,4454805
Food Prices for Nutrition 1.1,FPN 1.1,WORLD,2017,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,3.314,Unknown,2.457,0.834,0.873,Unknown,0.662,Unknown,0.348,Unknown,0.13,Unknown,0.508,0.793,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,4.9,31.9,43.6,350.6,2287.9,3125.1,7262444211
